193.10.249.70 - - [26/Jul/2000:06:16:30 +0200] "GET /~dhtml HTTP/1.0" 301 302
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml HTTP/1.1" 301 314
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/ HTTP/1.1" 200 7502
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/back.gif HTTP/1.1" 200 1307
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/blnk.gif HTTP/1.1" 200 56
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/img0.gif HTTP/1.1" 200 6835
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/img1.gif HTTP/1.1" 200 7216
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/img2.gif HTTP/1.1" 200 2820
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/img3.gif HTTP/1.1" 200 1805
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/img4.gif HTTP/1.1" 200 2253
195.67.108.14 - - [26/Jul/2000:10:18:55 +0200] "GET /~dhtml/img5.gif HTTP/1.1" 200 5348
195.67.108.14 - - [26/Jul/2000:10:19:05 +0200] "GET /~dhtml/page2.html HTTP/1.1" 200 4525
195.67.108.14 - - [26/Jul/2000:10:19:05 +0200] "GET /~dhtml/img6.gif HTTP/1.1" 200 5675
195.67.108.14 - - [26/Jul/2000:10:19:05 +0200] "GET /~dhtml/img7.gif HTTP/1.1" 200 2815
195.67.108.14 - - [26/Jul/2000:10:19:05 +0200] "GET /~dhtml/img8.gif HTTP/1.1" 200 2402
195.67.108.14 - - [26/Jul/2000:10:19:05 +0200] "GET /~dhtml/img9.gif HTTP/1.1" 200 3027
195.67.108.14 - - [26/Jul/2000:10:19:06 +0200] "GET /~dhtml/img10.gif HTTP/1.1" 200 10774
195.67.108.14 - - [26/Jul/2000:10:19:06 +0200] "GET /~dhtml/img11.gif HTTP/1.1" 200 3074
193.45.247.50 - - [26/Jul/2000:15:22:15 +0200] "GET /~dhtml/page4.html HTTP/1.0" 200 8898
193.45.247.50 - - [26/Jul/2000:15:22:16 +0200] "GET /~dhtml/back.gif HTTP/1.0" 200 1307
193.45.247.50 - - [26/Jul/2000:15:22:16 +0200] "GET /~dhtml/blnk.gif HTTP/1.0" 200 56
193.45.247.50 - - [26/Jul/2000:15:22:16 +0200] "GET /~dhtml/blnk.gif HTTP/1.0" 200 56
193.45.247.50 - - [26/Jul/2000:15:22:16 +0200] "GET /~dhtml/blnk.gif HTTP/1.0" 200 56
193.45.247.50 - - [26/Jul/2000:15:22:17 +0200] "GET /~dhtml/img7.gif HTTP/1.0" 200 2815
193.45.247.50 - - [26/Jul/2000:15:22:17 +0200] "GET /~dhtml/img22.gif HTTP/1.0" 200 5582
193.45.247.50 - - [26/Jul/2000:15:22:17 +0200] "GET /~dhtml/img23.gif HTTP/1.0" 200 1739
193.45.247.50 - - [26/Jul/2000:15:22:17 +0200] "GET /~dhtml/img24.gif HTTP/1.0" 200 1246
193.45.247.50 - - [26/Jul/2000:15:22:17 +0200] "GET /~dhtml/img26.gif HTTP/1.0" 200 2890
193.45.247.50 - - [26/Jul/2000:15:22:17 +0200] "GET /~dhtml/img25.gif HTTP/1.0" 200 2370
193.45.247.50 - - [26/Jul/2000:15:22:17 +0200] "GET /~dhtml/img27.gif HTTP/1.0" 200 1822
193.45.247.50 - - [26/Jul/2000:15:22:22 +0200] "GET /~dhtml/img21.gif HTTP/1.0" 200 2234
216.35.103.74 - - [26/Jul/2000:22:20:22 +0200] "GET /~dhtml/page4.html HTTP/1.0" 200 8898
216.35.103.74 - - [26/Jul/2000:22:20:22 +0200] "GET /~dhtml/page4.html HTTP/1.0" 200 8898
216.35.103.75 - - [27/Jul/2000:00:38:18 +0200] "GET /~dhtml HTTP/1.0" 301 302
216.35.103.75 - - [27/Jul/2000:00:52:40 +0200] "GET /~dhtml/ HTTP/1.0" 200 7502
212.181.139.164 - - [28/Jul/2000:01:02:15 +0200] "GET /~dhtml/page4.html HTTP/1.0" 200 8898
212.181.139.164 - - [28/Jul/2000:01:02:16 +0200] "GET /~dhtml/blnk.gif HTTP/1.0" 200 56
212.181.139.164 - - [28/Jul/2000:01:02:16 +0200] "GET /~dhtml/back.gif HTTP/1.0" 200 1307
212.181.139.164 - - [28/Jul/2000:01:02:16 +0200] "GET /~dhtml/blnk.gif HTTP/1.0" 200 56
212.181.139.164 - - [28/Jul/2000:01:02:16 +0200] "GET /~dhtml/blnk.gif HTTP/1.0" 200 56
212.181.139.164 - - [28/Jul/2000:01:02:16 +0200] "GET /~dhtml/img22.gif HTTP/1.0" 200 5582
212.181.139.164 - - [28/Jul/2000:01:02:16 +0200] "GET /~dhtml/img27.gif HTTP/1.0" 200 1822
